compound,temp_C,phi,phi_lo95,phi_hi95
PFODA,5.0,0.9954,0.966,1.0
PFODA,10.0,0.9928,0.9513,0.9999
PFODA,15.0,0.987,0.9258,0.9996
PFODA,20.0,0.9733,0.8631,0.9984
PFODA,25.0,0.9401,0.7182,0.9951
PFODA,30.0,0.8655,0.4296,0.9893
PFODA,35.0,0.7335,0.1742,0.981
PFOS,5.0,0.9691,0.7888,0.9996
PFOS,10.0,0.9507,0.7521,0.9978
PFOS,15.0,0.9123,0.7026,0.9882
PFOS,20.0,0.829,0.6283,0.945
PFOS,25.0,0.6643,0.4664,0.8299
PFOS,30.0,0.4393,0.1962,0.707
PFOS,35.0,0.2575,0.0449,0.6292
PFPeA,5.0,0.7428,0.144,0.9913
PFPeA,10.0,0.6086,0.1223,0.9548
PFPeA,15.0,0.4174,0.0945,0.8042
PFPeA,20.0,0.2193,0.07,0.466
PFPeA,25.0,0.0948,0.0379,0.1964
PFPeA,30.0,0.0412,0.0106,0.1104
PFPeA,35.0,0.02,0.0021,0.076
PFPeDA,5.0,0.9912,0.9358,1.0
PFPeDA,10.0,0.9862,0.9151,0.9998
PFPeDA,15.0,0.9753,0.872,0.999
PFPeDA,20.0,0.9501,0.7888,0.9961
PFPeDA,25.0,0.8922,0.606,0.9884
PFPeDA,30.0,0.7752,0.3283,0.9732
PFPeDA,35.0,0.6031,0.1128,0.9557
PFPeS,5.0,0.9164,0.4972,0.999
PFPeS,10.0,0.8668,0.4233,0.9952
PFPeS,15.0,0.7748,0.3327,0.9782
PFPeS,20.0,0.6171,0.2367,0.914
PFPeS,25.0,0.4095,0.1223,0.7701
PFPeS,30.0,0.2317,0.0421,0.5967
PFPeS,35.0,0.1257,0.0101,0.4711
PFPrS,5.0,0.7491,0.1411,0.9942
PFPrS,10.0,0.6232,0.1042,0.9717
PFPrS,15.0,0.4468,0.07,0.8813
PFPrS,20.0,0.2573,0.0408,0.6418
PFPrS,25.0,0.1226,0.0192,0.3514
PFPrS,30.0,0.0563,0.0063,0.2051
PFPrS,35.0,0.028,0.0014,0.1392
PFTeDA,5.0,0.9952,0.9674,1.0
PFTeDA,10.0,0.9928,0.9598,0.9998
PFTeDA,15.0,0.9874,0.9492,0.9987
PFTeDA,20.0,0.9742,0.931,0.9942
PFTeDA,25.0,0.9397,0.8669,0.9803
PFTeDA,30.0,0.8516,0.6469,0.9578
PFTeDA,35.0,0.6839,0.2804,0.9367
PFTriDA,5.0,0.9928,0.9533,0.9999
PFTriDA,10.0,0.9889,0.9399,0.9996
PFTriDA,15.0,0.9805,0.9247,0.998
PFTriDA,20.0,0.9602,0.8936,0.9904
PFTriDA,25.0,0.9089,0.8123,0.9671
PFTriDA,30.0,0.7887,0.5447,0.9336
PFTriDA,35.0,0.5942,0.1984,0.9033
PFUnDA,5.0,0.9862,0.91,0.9998
PFUnDA,10.0,0.9786,0.8874,0.9991
PFUnDA,15.0,0.962,0.8588,0.9956
PFUnDA,20.0,0.9234,0.8095,0.9793
PFUnDA,25.0,0.8322,0.6942,0.9314
PFUnDA,30.0,0.655,0.3764,0.8666
PFUnDA,35.0,0.4411,0.1089,0.8181
